DISTRITO,TECNOLOGÍA,RANGO_VELOC_BAJADA,EMPRESA,POBREZA
BREÑA,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
BREÑA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,4.041467
CARABAYLLO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CARABAYLLO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,19.176021
CHACLACAYO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHACLACAYO,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,9.712625
CHORRILLOS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CHORRILLOS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,11.60839
CIENEGUILLA,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
CIENEGUILLA,Otras Tecnologías,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,17.529394000000003
COMAS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,1024 <= BW < 2048 kbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Otras Tecnologías,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Otras Tecnologías,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Otras Tecnologías,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
COMAS,Otras Tecnologías,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.044522999999998
EL AGUSTINO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,2048 <=  BW < 4096 kbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,4 Mbps <= BW < 8 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,16 Mbps <= BW < 30 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,30 Mbps <= BW < 50 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Cablemódem,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Fibra Óptica,50 Mbps <= BW < 100 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Fibra Óptica,100 Mbps <= BW < 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Fibra Óptica,BW >= 200 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
EL AGUSTINO,Fibra Óptica,8 Mbps <= BW < 16 Mbps,AMERICA MOVIL PERU S.A.C.,16.689837
